branch_ch,n_bcp,tt,ch_in_tt,module,type,iphi,ieta,high_over_low_gain_ratio,intercalib_factor
142,0,5,18,1,ecal,3,24,10,1
143,0,5,19,1,ecal,2,24,10,1
144,0,5,20,1,ecal,1,24,10,1
145,0,5,21,1,ecal,1,25,10,1
146,0,5,22,1,ecal,2,25,10,1
147,0,5,23,1,ecal,3,25,10,1
148,0,5,24,1,ecal,4,25,10,1
149,0,5,25,1,ecal,5,25,10,1
150,0,6,1,1,ecal,5,10,10,1
151,0,6,2,1,ecal,4,10,10,1
152,0,6,3,1,ecal,3,10,10,1
153,0,6,4,1,ecal,2,10,10,1
154,0,6,5,1,ecal,1,10,10,1
155,0,6,6,1,ecal,1,9,10,1
156,0,6,7,1,ecal,2,9,10,1
157,0,6,8,1,ecal,3,9,10,1
158,0,6,9,1,ecal,4,9,10,1
159,0,6,10,1,ecal,5,9,10,1
160,0,6,11,1,ecal,5,8,10,1
161,0,6,12,1,ecal,4,8,10,1
162,0,6,13,1,ecal,3,8,10,1
163,0,6,14,1,ecal,2,8,10,1
164,0,6,15,1,ecal,1,8,10,1
165,0,6,16,1,ecal,1,7,10,1
166,0,6,17,1,ecal,2,7,10,1
167,0,6,18,1,ecal,3,7,10,1
168,0,6,19,1,ecal,4,7,10,1
169,0,6,20,1,ecal,5,7,10,1
170,0,6,21,1,ecal,5,6,10,1
171,0,6,22,1,ecal,4,6,10,1
172,0,6,23,1,ecal,3,6,10,1
173,0,6,24,1,ecal,2,6,10,1
174,0,6,25,1,ecal,1,6,10,1
175,0,7,1,1,ecal,10,10,10,1
176,0,7,2,1,ecal,9,10,10,1
177,0,7,3,1,ecal,8,10,10,1
178,0,7,4,1,ecal,7,10,10,1
179,0,7,5,1,ecal,6,10,10,1
180,0,7,6,1,ecal,6,9,10,1
181,0,7,7,1,ecal,7,9,10,1
182,0,7,8,1,ecal,8,9,10,1
183,0,7,9,1,ecal,9,9,10,1
184,0,7,10,1,ecal,10,9,10,1
185,0,7,11,1,ecal,10,8,10,1
186,0,7,12,1,ecal,9,8,10,1
187,0,7,13,1,ecal,8,8,10,1
188,0,7,14,1,ecal,7,8,10,1
189,0,7,15,1,ecal,6,8,10,1
190,0,7,16,1,ecal,6,7,10,1
191,0,7,17,1,ecal,7,7,10,1
192,0,7,18,1,ecal,8,7,10,1
193,0,7,19,1,ecal,9,7,10,1
194,0,7,20,1,ecal,10,7,10,1
195,0,7,21,1,ecal,10,6,10,1
196,0,7,22,1,ecal,9,6,10,1
197,0,7,23,1,ecal,8,6,10,1
198,0,7,24,1,ecal,7,6,10,1
199,0,7,25,1,ecal,6,6,10,1
200,0,8,1,1,ecal,10,15,10,1
201,0,8,2,1,ecal,9,15,10,1
202,0,8,3,1,ecal,8,15,10,1
203,0,8,4,1,ecal,7,15,10,1
204,0,8,5,1,ecal,6,15,10,1
205,0,8,6,1,ecal,6,14,10,1
206,0,8,7,1,ecal,7,14,10,1
207,0,8,8,1,ecal,8,14,10,1
208,0,8,9,1,ecal,9,14,10,1
209,0,8,10,1,ecal,10,14,10,1
210,0,8,11,1,ecal,10,13,10,1
211,0,8,12,1,ecal,9,13,10,1
212,0,8,13,1,ecal,8,13,10,1
213,0,8,14,1,ecal,7,13,10,1
214,0,8,15,1,ecal,6,13,10,1
215,0,8,16,1,ecal,6,12,10,1
216,0,8,17,1,ecal,7,12,10,1
217,0,8,18,1,ecal,8,12,10,1
218,0,8,19,1,ecal,9,12,10,1
219,0,8,20,1,ecal,10,12,10,1
